weight_col0,weight_col1,weight_col2,weight_col3,weight_col4,weight_col5,weight_col6,weight_col7,mean,variance
4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,0.00000000e+00
4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,0.00000000e+00
4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,0.00000000e+00
4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,0.00000000e+00
4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,0.00000000e+00
4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,0.00000000e+00
4.52792132e-03,1.52457354e-03,9.42509249e-03,3.95187782e-03,-2.35059459e-04,9.91770998e-04,4.55779722e-03,3.76842963e-03,3.56405042e-03,7.70873703e-06
1.31811458e-03,-1.72367418e-05,9.12513584e-04,3.19747109e-04,2.71277357e-04,8.57995008e-04,3.46263580e-04,3.48651723e-04,5.44665789e-04,1.68819895e-07
4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,0.00000000e+00
4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,0.00000000e+00
4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,0.00000000e+00
4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,0.00000000e+00
4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,4.96844384e-41,0.00000000e+00
